'perfect' gold bar;'perfecte' goudbaar
Bakery storage key;Sleutel voor bakkerijopslag
Ball;Bal
Bagged willow tree;In zakken verpakte wilg
Bait pack;Aaspakket
Baguette;Stokbrood
Bailing bucket;Borgende emmer
Baked potato;Gebakken aardappel
Bagged yew tree;In zakken verpakte taxusboom
Balance beam;Evenwichtsbalk
Ball of wool;Bolletje wol
Balloon toad;Ballon pad
Balloon structure;Ballonstructuur
Banana sapling;Bananen jong boompje
Ballad;Ballade
Banana seedling;Bananenzaailing
Ballista limbs;Ballista-ledematen
Banana cape;Bananen cape
Ballad of the basilisk;Ballade van de Basilisk
Ballista spring;Ballista lente
Banana;Banaan
Banana seedling (w);Bananenzaailing (w)
Banana stew;Bananenstoofpot
Bananas(5);Bananen(5)
Banana tree seed;Zaad van de bananenboom
Bananas(1);Bananen(1)
Bananas(3);Bananen(3)
Bananas(4);Bananen(4)
Bandages;Verbanden
Bandana eyepatch;Bandana-ooglapje
Bananas(2);Bananen(2)
Bandos coif;Bandos kapsel
Bandos bracers;Bando's bracers
Bandos crozier;Bandos-crozier
Bandos d'hide body;Bandos d'hide-lichaam
Bandos cloak;Bandos mantel
Bandit's brew;Bandietenbrouwsel
Bandos chestplate;Bandos borstplaat
Bandit;Bandiet
Bandos chaps;Bando's kerels
Bandos boots;Bandos-laarzen
Bandos halo (l);Bandos halo (l)
Bandos godsword;Bandos godszwaard
Bandos d'hide shield;Bandos d'hide-schild
Bandos halo (broken);Bandos halo (gebroken)
Bandos godsword ornament kit;Bandos godszwaardornamentset
Bandos dragonhide set;Bandos drakenhuid set
Bandos godsword (or);Bandos godszwaard (of)
Bandos d'hide boots;Bandos d'hide-laarzen
Bandos halo;Bandos halo
Bandos full helm;Bandos vol roer
Bandos plateskirt;Bandos plaatrok
Bandos page 2;Bandos pagina 2
Bandos page 3;Bandos pagina 3
Bandos hilt;Bandos gevest
Bandos page 4;Bandos pagina 4
Bandos mitre;Bandos mijter
Bandos platelegs;Bandos-plaatpoten
Bandos kiteshield;Bandos vliegerschild
Bandos page 1;Bandos pagina 1
Bandos platebody;Bandos plaatlichaam
Bandos tassets;Bandos-tassets
Bank filler;Bankvuller
Banner easel;Banner-ezel
Bank key;Banksleutel
Bandos robe top;Bandos gewaadtop
Banner;Banier
Bandos stole;Bandos stal
Bandos rune armour set (lg);Bandos runenpantserset (lg)
Bandos robe legs;Bandos gewaad benen
Bandos rune armour set (sk);Bandos runenpantserset (sk)
Bar magnet;Staafmagneet
Barbarian rod;Barbaarse staaf
Banshee mask;Banshee-masker
Banshee robe;Banshee-gewaad
Banshee top;Banshee-topje
Barbarian skills;Barbaarse vaardigheden
Banner stand;Bannerstandaard
Barb-tail harpoon;Harpoen met weerhaakstaart
Banshee;Banshee
Barb bolttips;Weerhaak boutpunten
Bark sample;Schors monster
Barley;Gerst
Barbarian teleport;Barbaarse teleportatie
Barbed bolts;Prikkeldraadbouten
Barrel;Loop
Bark;Blaffen
Barley seed;Gerst zaad
Barcrawl card;Barcrawl-kaart
Barbed arrow;Pijl met weerhaken
Barley malt;Gerstmout
Barrel bomb;Vat bom
Barricade;Barricade
Barrel of naphtha;Vat nafta
Barronite deposit;Barronietafzetting
Barrelchest anchor;Barrelchest anker
Barronite guard;Barronieten bewaker
Barronite handle;Barroniet handvat
Barronite mace;Barroniet foelie
Barrel of coal tar;Vat koolteer
Barronite head;Barroniet hoofd
Barronite mace (broken);Barronietknots (gebroken)
Barronite mace (l);Barronietknots (l)
Basilisk;Basilisk
Barrows gloves;Barrows handschoenen
Base schematics;Basisschema's
Basilisk bone;Basilisk bot
Barronite shards;Barronietscherven
Basalt;Basalt
Basic jewellery box;Basis sieradendoosje
Barrows teleport;Barrow teleporteert
Bass;Bas
Basket pack;Mandpakket
Bastion potion(2);Bastion drankje(2)
Basilisk jaw;Basilisk kaak
Bastion potion(3);Bastion drankje(3)
Basilisk knight;Basilisk ridder
Basket;Mand
Bastion potion(4);Bastion drankje(4)
Bastion potion(1);Bastion drankje(1)
Basilisk head;Basilisk hoofd
Bat wing;Vleermuis vleugel
Batta tin;Batta blik
Battered key;Gehavende sleutel
Battlefront teleport;Teleportatie aan het front
Bat shish;Vleermuis shish
Bat bonemeal;Vleermuisbeendermeel
Battlemage potion(2);Strijdmagiërdrankje(2)
Battered book;Gehavend boek
Bat bones;Vleermuis botten
Battlemage potion(1);Strijdmagiërdrankje(1)
Bauble box;Snuisterij doos
Beach boxing gloves;Strandbokshandschoenen
Battlemage potion(3);Strijdmagiërdrankje(3)
Beacon ring;Baken ring
Beanie;Muts
Bear feet;Beer voeten
Beam;Straal
Battlemage potion(4);Strijdmagiërdrankje(4)
Battlestaff;Strijdstaf
Beads of the dead;Kralen van de doden
Bedroom;Slaapkamer
Bear ribs;Berenribben
Bedabin key;Bedabin-sleutel
Bearded gorilla greegree;Baardgorilla greegree
Bearhead;Berenkop
Beaten book;Geslagen boek
Bearded gorilla bonemeal;Baardgorilla beendermeel
Beaver;Bever
Bedsheet;Laken
Bear fur;Berenbont
Beer barrel;Biervat
Beer soaked hand;Met bier doordrenkte hand
Beekeeper's boots;Imkerslaarzen
Beer glass;Bierglas
Beef fillet;Ossenhaas
Beekeeper's hat;De hoed van de imker
Beekeeper's gloves;Imkerhandschoenen
Beekeeper's top;Top van de imker
Beekeeper's legs;De benen van de imker
Beer;Bier
Beginner wand;Toverstaf voor beginners
Bench with lathe;Bank met draaibank
Bell bauble;Bel snuisterij
Belt buckle;Riemgesp
Bell jar;Stolp
Belladonna seed;Belladonna-zaad
Bell-pull;Bell-trek
Bells;Klokken
Bench with vice;Bank met bankschroef
Beer tankard;Bierpul
Berserker necklace (or);Berserker ketting (of)
Berserker helm;Berserker-roer
Berserker ring (i);Berserkerring (i)
Big bass;Grote bas
Bervirius notes;Bervirius merkt op
Berserker ring;Berserker-ring
Berserker necklace;Berserker-ketting
Bert's rota;Het rooster van Bert
Beret mask;Baret masker
Berserker necklace ornament kit;Berserker kettingversieringsset
Big pirate hat;Grote piratenhoed
Big frog leg;Grote kikkerpoot
Big bonemeal;Grote beendermeel
Big swordfish;Grote zwaardvis
Big book of bangs;Groot ponyboek
Big bones;Grote botten
Big fishing net;Groot visnet
Big harpoonfish;Grote harpoenvis
Big shark;Grote haai
Binding book;Bindend boek
Binding fluid;Bindvloeistof
Binding necklace;Bindende ketting
Bird feed;Vogelvoer
Bird nest;Vogelnest
Bird snare pack;Vogel strikpakket
Bird snare;Vogel strik
Birthday balloons;Verjaardag ballonnen
Bird book;Vogelboek
Bird house;Vogelhuis
Bird's egg;Vogel ei
Bitter easter egg;Bitter paasei
Birthday present;Verjaardagscadeau
Bitter chocolate mix;Bittere chocolademix
Birthday cake;Verjaardagstaart
Black battleaxe;Zwarte strijdbijl
Black balloon;Zwarte ballon
Black axe head;Zwarte bijlkop
Black 2h sword;Zwart 2 uur zwaard
Black axe;Zwarte bijl
Bitternut;Bitternoot
Black boots;Zwarte laarzen
Black cavalier;Zwarte cavalier
Black brutal;Zwart brutaal
Black beret;Zwarte baret
Black boater;Zwarte schipper
Black cape;Zwarte cape
Black bead;Zwarte kraal
Black candy;Zwart snoepje
Black candle;Zwarte kaars
Black cane;Zwarte stok
Black chinchompa;Zwarte chinchompa
Black crystal;Zwart kristal
Black chainbody;Zwart kettinglichaam
Black d'hide body;Lichaam van zwart leer
Black coffin;Zwarte kist
Black cog;Zwart tandwiel
Black d'hide body (beta);Lichaam van zwart leer (bèta)
Black d'hide body (t);Zwart d'huidlichaam (t)
Black claws;Zwarte klauwen
Black d'hide body (g);Zwart d'huidlichaam (g)
Black d'hide chaps;Zwart d'hide chaps
Black dagger(p+);Zwarte dolk(p+)
Black d'hide shield;Zwart d'huidschild
Black d'hide vambraces (beta);Zwart d'hide vambraces (bèta)
Black d'hide chaps (g);Zwart d'hide chaps (g)
Black d'hide chaps (t);Zwart d'hide chaps (t)
Black dagger;Zwarte dolk
Black d'hide chaps (beta);Black d'hide chaps (bèta)
Black d'hide vambraces;Zwart d'hide vambraces
Black dagger(p);Zwarte dolk(p)
Black dart(p+);Zwarte pijl(p+)
Black demon mask;Zwart demonenmasker
Black dagger(p++);Zwarte dolk(p++)
Black defender;Zwarte verdediger
Black desert robe;Zwart woestijngewaad
Black defender (broken);Zwarte verdediger (gebroken)
Black dart(p);Zwarte pijl(p)
Black dart(p++);Zwarte pijl(p++)
Black defender (l);Zwarte verdediger (l)
Black dart;Zwarte pijl
Black dragonhide set;Zwarte drakenhuid set
Black elegant legs;Zwarte elegante poten
Black flowers;Zwarte bloemen
Black dragonhide;Zwarte drakenhuid
Black elegant shirt;Zwart elegant overhemd
Black full helm;Zwarte volledige helm
Black destabiliser;Zwarte destabilisator
Black dragon leather;Zwart drakenleer
Black dragon mask;Zwart drakenmasker
Black desert shirt;Zwart woestijnshirt
Black headband;Zwarte hoofdband
Black full helm (t);Zwart volledig stuur (t)
Black gloves;Zwarte handschoenen
Black helm (h1);Zwarte roer (h1)
Black gold-trimmed set (lg);Zwart goud afgezette set (lg)
Black goblin mail;Zwarte koboldpost
Black gold-trimmed set (sk);Zwart goud afgezet setje (sk)
Black halberd;Zwarte hellebaard
Black full helm (g);Zwart volledige stuurstand (g)
Black h'ween mask;Zwart h'ween-masker
Black key purple;Zwarte sleutel paars
Black key brown;Zwarte sleutel bruin
Black helm (h3);Zwarte roer (h3)
Black helm (h4);Zwarte roer (h4)
Black kiteshield;Zwart vliegerschild
Black key black;Zwarte sleutel zwart
Black helm (h2);Zwarte roer (h2)
Black key crimson;Zwarte sleutel karmozijnrood
Black key red;Zwarte sleutel rood
Black helm (h5);Zwarte roer (h5)
Black knight helm;Zwarte ridderroer
Black kiteshield (g);Zwart vliegerschild (g)
Black knife(p);Zwart mes(p)
Black leprechaun hat;Zwarte kabouterhoed
Black knife;Zwart mes
Black longsword;Zwart langzwaard
Black kiteshield (t);Zwart vliegerschild (t)
Black knife(p++);Zwart mes(p++)
Black knife(p+);Zwart mes(p+)
Black locks;Zwarte sloten
Black mask (1);Zwart masker (1)
Black mask (10) (i);Zwart masker (10) (i)
Black mask (1) (i);Zwart masker (1) (i)
Black mask (2) (i);Zwart masker (2) (i)
Black mask (3) (i);Zwart masker (3) (i)
Black mask (10);Zwart masker (10)
Black mask (3);Zwart masker (3)
Black mask;Zwart masker
Black mask (2);Zwart masker (2)
Black mace;Zwarte foelie
Black mask (6);Zwart masker (6)
Black mask (7) (i);Zwart masker (7) (i)
Black mask (5);Zwart masker (5)
Black mask (5) (i);Zwart masker (5) (i)
Black mask (8);Zwart masker (8)
Black mask (8) (i);Zwart masker (8) (i)
Black mask (4);Zwart masker (4)
Black mask (6) (i);Zwart masker (6) (i)
Black mask (7);Zwart masker (7)
Black mask (4) (i);Zwart masker (4) (i)
Black mask (9);Zwart masker (9)
Black mushroom;Zwarte paddestoel
Black partyhat;Zwarte feesthoed
Black mask (9) (i);Zwart masker (9) (i)
Black mask (i);Zwart masker (ik)
Black med helm;Zwart med roer
Black nails;Zwarte nagels
Black mushroom ink;Zwarte paddestoelinkt
Black naval shirt;Zwart marineshirt
Black navy slacks;Zwarte marineblauwe broek
Black platebody (h1);Zwarte plaatbody (h1)
Black platebody (h2);Zwarte plaatbody (h2)
Black platebody (h4);Zwarte plaatbody (h4)
Black pickaxe;Zwarte pikhouweel
Black platebody (t);Zwarte plaatbody (t)
Black platebody (h3);Zwarte plaatbody (h3)
Black platebody (g);Zwarte plaatbody (g)
Black platebody (h5);Zwarte plaatbody (h5)
Black platebody;Zwarte plaatbody
Black pick head;Zwarte plukkop
Black robe;Zwart gewaad
Black salamander;Zwarte salamander
Black platelegs;Zwarte bordpoten
Black platelegs (g);Zwarte plaatpoten (g)
Black santa hat;Zwarte kerstmuts
Black prism;Zwart prisma
Black platelegs (t);Zwarte plaatpoten (t)
Black plateskirt (t);Zwarte plateskirt (t)
Black plateskirt (g);Zwarte plateskirt (g)
Black plateskirt;Zwarte plateskirt
Black set (sk);Zwart setje (sk)
Black shield (h2);Zwart schild (h2)
Black set (lg);Zwart setje (lg)
Black satchel;Zwarte schooltas
Black shield (h1);Zwart schild (h1)
Black skirt;Zwarte rok
Black scimitar;Zwart kromzwaard
Black shield (h5);Zwart schild (h5)
Black shield (h4);Zwart schild (h4)
Black shield (h3);Zwart schild (h3)
Black skirt (g);Zwarte rok (g)
Black skirt (t);Zwarte rok (t)
Black slayer helmet (i);Zwarte slayerhelm (i)
Black spear(p++);Zwarte speer(p++)
Black spear(kp);Zwarte speer (kp)
Black spear(p+);Zwarte speer(p+)
Black spiky vambraces;Zwarte stekelige vambraces
Black spear;Zwarte speer
Black slayer helmet;Zwarte slayerhelm
Black spear(p);Zwarte speer(p)
Black tourmaline core;Kern van zwarte toermalijn
Black warlock;Zwarte heksenmeester
Black sword;Zwart zwaard
Black unicorn mask;Zwart eenhoornmasker
Black trimmed set (sk);Zwart getrimde set (sk)
Black trimmed set (lg);Zwart getrimde set (lg)
Black toy horsey;Zwart speelgoedpaardje
Black tricorn hat;Zwarte driehoekige hoed
Black warhammer;Zwarte oorlogshamer
Black sq shield;Zwart vierkant schild
Black wizard robe (t);Zwart tovenaarsgewaad (t)
Blackened crystal;Zwartgeblakerd kristal
Blamish bark shell;Blamish schorsschelp
Blade of saeldor;Mes van Saeldor
Black wizard hat (t);Zwarte tovenaarshoed (t)
Blade of saeldor (inactive);Blade of Saeldor (inactief)
Black wizard robe (g);Zwart tovenaarsgewaad (g)
Blacksmith's helm;Het roer van de smid
Black wizard hat (g);Zwarte tovenaarshoed (g)
Blade of saeldor (c);Mes van Saeldor (c)
Blank fire rune;Lege vuurrune
Blamish oil;Blaam olie
Blamish blue shell;Blamish blauwe schaal
Blamish myre shell;Geef myre shell de schuld
Blamish red shell;Blamish rode schaal
Blank air rune;Lege luchtrune
Blamish ochre shell;Blamish okerkleurige schelp
Blank earth rune;Lege aarderune
Blank mind rune;Lege geest rune
Blamish snail slime;Blamish slakkenslijm
Blessed axe;Gezegende bijl
Blessed lamp;Gezegend lampje
Blessed gold bowl;Gezegende gouden schaal
Bleached bones;Gebleekte botten
Blessed spirit shield;Gezegend geestschild
Blessed pot;Gezegende pot
Blessed water;Gezegend water
Blank water rune;Lege waterrune
Blasted ore;Gestraald erts
Blighted ancient ice sack;Verwoeste oude ijszak
Blighted super restore(2);Verwoest superherstel(2)
Blighted super restore(4);Verwoest superherstel(4)
Blighted anglerfish;Verwoeste zeeduivel
Blighted super restore(3);Verwoest superherstel(3)
Blighted snare sack;Verwoeste strikzak
Blighted super restore(1);Verwoest superherstel(1)
Blighted entangle sack;Verwoeste verstrikt zak
Blighted bind sack;Verwoeste bindzak
Blighted karambwan;Verwoeste Karambwan
Blighted manta ray;Verwoeste mantarog
Blindweed;Blindkruid
Blighted vengeance sack;Verwoeste wraakzak
Blood diamond;Bloed diamant
Blisterwood sickle;Blaarhouten sikkel
Blood money;Bloedgeld
Blisterwood flail;Blisterhouten dorsvlegel
Blighted teleport spell sack;Verwoeste teleport-spreukzak
Bloated toad;Opgeblazen pad
Blindweed seed;Blindkruidzaad
Blisterwood logs;Blisterhoutblokken
Blood rune;Bloed rune
Blood potion;Bloed drankje
Blood'n'tar snelm;Blood'n'tar snelm
Blood rune (nz);Bloedrune (nz)
Blood tithe pouch;Zakje voor bloedtienden
Blood shard;Bloed scherf
Blood pint;Bloed pint
Bloodbark boots;Bloedschors laarzen
Bloodbark body;Bloedschors lichaam
Bloodbark gauntlets;Bloedschorshandschoenen
Bloody bracer;Bloedige bracer
Bloody grimoire;Bloedige grimoire
Bloody key;Bloedige sleutel
Bloodbark helm;Bloedschors roer
Bloodveld;Bloedveld
Bloodhound;Bloedhond
Bloody head;Bloedig hoofd
Bloodbark legs;Bloedschors benen
Bloodier key;Bloediger sleutel
Bloody diary;Bloedig dagboek
Bludgeon axon;Knuppel axon
Bludgeon claw;Knuppel klauw
Blue boots;Blauwe laarzen
Bludgeon spine;Knuppel ruggengraat
Blue boater;Blauwe schipper
Blue candy;Blauw snoepje
Blue balloon;Blauwe ballon
Blue beret;Blauwe baret
Bloody notes;Bloedige noten
Bloody mourner top;Bloedige rouwende top
Blue d'hide chaps (g);Blauwe chaps (g)
Blue cog;Blauw tandwiel
Blue d'hide chaps (t);Blauwe chaps (t)
Blue d'hide shield;Blauw d'huidschild
Blue crystal;Blauw kristal
Blue d'hide body (g);Blauw d'huidlichaam (g)
Blue d'hide chaps;Chaps van blauw d'huid
Blue d'hide body (t);Blauw d'huidlichaam (t)
Blue cape;Blauwe cape
Blue d'hide body;Lichaam van blauw d'huid
Blue dye;Blauwe kleurstof
Blue destabiliser;Blauwe destabilisator
Blue dragon mask;Blauw drakenmasker
Blue dragon scale;Blauwe drakenschaal
Blue dragon leather;Blauw drakenleer
Blue dragonhide;Blauwe drakenhuid
Blue d'hide vambraces;Blauwe d'hide vambraces
Blue dragonhide set;Blauwe drakenhuid set
Blue dark bow paint;Blauwe donkere strikverf
Blue dye bellows;Blauwe kleurstofbalg
Blue firelighter;Blauwe aanmaakblokje
Blue elegant legs;Blauwe elegante poten
Blue goblin mail;Blauwe koboldpost
Blue gingerbread shield;Blauw peperkoekschild
Blue elegant skirt;Blauwe elegante rok
Blue egg;Blauw ei
Blue elegant shirt;Blauw elegant overhemd
Blue feather;Blauwe veer
Blue flowers;Blauwe bloemen
Blue elegant blouse;Blauwe elegante blouse
Blue headband;Blauwe hoofdband
Blue monkey;Blauwe aap
Blue hat;Blauwe hoed
Blue icon;Blauw pictogram
Blue liquid;Blauwe vloeistof
Blue logs;Blauwe logboeken
Blue naval shirt;Blauw marineshirt
Blue marionette;Blauwe marionet
Blue halloween mask;Blauw Halloween-masker
Blue navy slacks;Blauw marineblauwe broek
Blue skirt;Blauwe rok
Blue spiky vambraces;Blauwe stekelige vambraces
Blue skirt (g);Blauwe rok (g)
Blue skirt (t);Blauwe rok (t)
Blue thread;Blauwe draad
Blue rainbow strand;Blauwe regenboogstreng
Blue sweets;Blauwe snoepjes
Blue partyhat;Blauwe feesthoed
Blue robe top;Blauwe gewaadtop
Blue robe bottoms;Blauwe gewaadbodems
Blue wizard hat;Blauwe tovenaarshoed
Bluebells;Boshyacinten
Blue wizard robe (t);Blauwe tovenaarsgewaad (t)
Blue toad;Blauwe pad
Blue wizard robe;Blauwe tovenaarsgewaad
Blue wizard robe (g);Blauwe tovenaarsgewaad (g)
Blue tricorn hat;Blauwe driekanthoed
Blue wizard hat (g);Blauwe tovenaarshoed (g)
Bluegill;Blauwkieuw
Blue wizard hat (t);Blauwe tovenaarshoed (t)
Blurite crossbow;Bluriete kruisboog
Blunt axe;Stompe bijl
Blurite bar;Bluriete staaf
Blurite bolts (p);Blurietbouten (p)
Blurite bolts (p+);Blurietbouten (p+)
Blurite bolts;Bluriet bouten
Blurite bolts (p++);Blurietbouten (p++)
Blunt arrow;Stompe pijl
Blurite bolts (unf);Blurietbouten (unf)
Blurberry special;Blurberry speciaal
Blurite sword;Bluriet zwaard
Bob icon;Bob-pictogram
Blurite ore;Bluriet erts
Bob's green shirt;Het groene shirt van Bob
Bob's black shirt;Het zwarte shirt van Bob
Bob's blue shirt;Het blauwe shirt van Bob
Board game piece;Bordspel stuk
Blurite crossbow (u);Bluriet kruisboog (u)
Blurite limbs;Bluriete ledematen
Bob's print;Bobs afdruk
Bob's red shirt;Het rode shirt van Bob
Body tiara;Lichaam tiara
Bobble hat;Bobbel hoed
Body rune;Lichaamsrune
Bologa's blessing;De zegen van Bologna
Body talisman;Lichaam talisman
Bologano fruit;Bologano-fruit
Body core;Lichaamskern
Bob's purple shirt;Bob's paarse shirt
Bobble scarf;Bobbel sjaal
Bone beads;Botten kralen
Bone bolt pack;Botboutpakket
Bolt pouch;Boutzakje
Bologano seed;Bologano-zaad
Bone bolts;Bot bouten
Bolt mould;Bout schimmel
Bomber jacket;Bomberjack
Bolt rack;Bout rek
Bomber cap;Bomberpet
Bolt of cloth;Bolletje stof
Bone dagger (p+);Botdolk (p+)
Bone cage;Botten kooi
Bone key;Bot sleutel
Bone club;Bottenclub
Bone fragments;Botfragmenten
Bone charm;Bot charme
Bone dagger (p);Botdolk (p)
Bone dagger;Botten dolk
Bone dagger (p++);Botdolk (p++)
Bone in vinegar;Bot in azijn
Bone seeds;Bot zaden
Bones to bananas;Botten tot bananen
Bones to peaches;Botten tot perziken
Bonecrusher;Bottenbreker
Bonemeal;Beendermeel
Bone shard;Bot scherf
Bonesack;Bottenzak
Bone spear;Bot speer
Bonecrusher necklace;Bottenbreker ketting
Bones;Botten
Book of darkness page set;Boek van duisternis paginaset
Book;Boek
Book of darkness;Boek van duisternis
Book of 'h.a.m';Boek van 'h.a.m'
Book of haricanto;Boek van haricanto
Book of arcane knowledge;Boek met geheimzinnige kennis
Book of balance;Boek van balans
Book of folklore;Folkloreboek
Book o' piracy;Boek over piraterij
Book of balance page set;Boek met balanspaginaset
Book of law page set;Paginaset wetboek
Book of war page set;Boek van oorlog paginaset
Book of law;Wetboek
Book of spyology;Boek over spyologie
Book of war;Oorlogsboek
Book on chemicals;Boek over chemicaliën
Book of knowledge;Boek van kennis
Book on chickens;Boek over kippen
Book of portraiture;Portretboek
Book on baxtorian;Boek over Baxtorian
Boots of brimstone;Laarzen van zwavel
Book page 2;Boekpagina 2
Bookcase;Boekenkast
Boots of lightness;Laarzen van lichtheid
