A Goblin standard;Um padrão Goblin
Tent pole;Poste de tenda
Tile;Telha
Timeline;Linha do tempo
Teak wall decoration;Decoração de parede de teca
Teleport trap;Armadilha de teletransporte
Tendrils;Gavinhas
The Gauntlet;A Manopla
The Jormungand;O Jormungand
The jury;O júri
Till;Até
Tombstone;Lápide
Topiary space;Espaço topiário
Terror Snail;Caracol Terror
Thana;Thana
The Maiden of Sugadinti;A Donzela de Sugadinti
Temple door;Porta do templo
Thick Web;Teia espessa
Thick vine;Videira grossa
Tin bath;Banho de estanho
Tiny storage unit;Pequena unidade de armazenamento
Tithe patch;Remendo do dízimo
Tomb Door;Porta da tumba
Trap space;Espaço de armadilha
Trapdoor table;Mesa de alçapão
Travel cart;Carrinho de viagem
Treadmill;Esteira
Tree branch;Galho de árvore
Toy sink;Pia de brinquedo
Trashed Patch;Patch descartado
Troll;troll
Trolley;Carrinho
TzHaar statue;Estátua de TzHaar
Uncooking pot;Panela para cozinhar
Tree patch;Remendo de árvore
Trellis;Treliça
Unicorn Statue;Estátua de Unicórnio
Totem pole;Totem
Toy box;Caixa de brinquedos
Toy weapons;Armas de brinquedo
Treasure space;Espaço do tesouro
Trebuchet;Trabuco
Trough;Calha
Tower;Torre
Toy range;Gama de brinquedos
Track support;Acompanhar suporte
Trailblazer rug;Tapete pioneiro
Train cart;Carrinho de trem
Treasure chest;Baú do tesouro
Tree Door;Porta da árvore
Tree stump;Toco de árvore
Troll ladder;Escada de trolls
Underwall tunnel;Túnel subterrâneo
Unoccupied Cormorant perch;Poleiro de cormorão desocupado
Totem;Totem
Toy box space;Espaço para caixa de brinquedos
Trapdoor space;Espaço de alçapão
Tree;Árvore
Troll Stronghold Portal;Portal da Fortaleza Troll
Tunnel wall;Parede do túnel
Unicorn;Unicórnio
Urn;Urna
Treasure room;Sala do tesouro
Treated patch;Patch tratado
Twisted Crate;Caixa Torcida
Totem Pole;Pólo Totêmico
Toy Stall;Barraca de brinquedos
Trahaearn Banner;Estandarte Trahaearn
Trapdoor;Alçapão
Trapdoor tunnel;Túnel de alçapão
Treasure Trail Statistics;Estatísticas da Trilha do Tesouro
Unferth's patch;Patch de Unferth
Unlit candle;Vela apagada
Trawler net;Rede de arrasto
Tree Stump;Toco de árvore
Trophy pedestal;Pedestal de troféu
Twigs;Galhos
Two;Dois
Underwater Cavern Entrance;Entrada da caverna subaquática
Treasure Hunt Fairy House;Casa de fadas de caça ao tesouro
Tribal Statue;Estátua Tribal
Tripwire;Tripwire
Tropical leaves;Folhas tropicais
Tropical tree;Árvore tropical
Unicorn's head;Cabeça de unicórnio
Track;Acompanhar
Tulips;Tulipas
Twocan;Duas latas
TzHaar Flag;Bandeira TzHaar
Undead combat dummy;Boneco de combate morto-vivo
Toy corner;Canto de brinquedo
Trailblazer globe;Globo pioneiro
Training dummy;Boneco de treinamento
Trap Door;Alçapão
Tree trunk;Tronco de árvore
Trimmed Yommi;Yommi aparado
Trophy case space;Espaço para caixas de troféus
Twisted Bow;Arco Torcido
Tzkal-Zuk display;Exibição de Tzkal-Zuk
Urt salt;Urt sal
Tower door;Porta da torre
Toy bricks;Tijolos de brinquedo
Trap bypass;Desvio de armadilha
Tree space;Espaço de árvore
Trunk;Porta-malas
Tube;Tubo
Tunnel entrance;Entrada do túnel
Unstable Altar;Altar Instável
Transport platform;Plataforma de transporte
Trap;Armadilha
Trellis top;Topo de treliça
Treasure chest space;Espaço no baú do tesouro
Troll Stew;Ensopado de Trolls
Tropical Leaves;Folhas Tropicais
Tunnel roof;Telhado do túnel
Tower ladder;Escada da torre
Toy table;Mesa de brinquedo
Tracks;Faixas
Tribal statue;Estátua tribal
Trumpet;Trombeta
Tunnel;Túnel
Twisted bush;Arbusto torcido
Unlocked Ogre chest;Baú de Ogro desbloqueado
Vine patch;Canteiro de videira
Volcanic theme;Tema vulcânico
Wardrobe;Guarda-roupa
Water Tank;Tanque de água
Waterfall rocks;Pedras da cachoeira
Volcanic Furnace;Fornalha Vulcânica
Wall decoration;Decoração de parede
Wallchart;Gráfico de parede
Water containers;Recipientes de água
Water controls;Controles de água
Water's edge;Beira da água
Volcanic garden;Jardim vulcânico
Wall;Parede
Wall Pipe;Tubo de parede
Warehouse shelves;Prateleiras de armazém
Waste Paper Bin;Lixeira de papel
Watchtower Legs;Pernas da Torre de Vigia
Water valve;Válvula de água
Viewer;Visualizador
Vyre well;Vyre bem
Water Pump;Bomba de água
Water Trough;Calha de água
Valve;Válvula
Vat;Cuba
Viewing orb;Visualizando orbe
Vines;Vinhas
Wall rubble;Escombros da parede
Wardrobe space;Espaço guarda-roupa
Washbasin;Lavatório
Vials;Frascos
Vorkath head;Cabeça Vorkath
Wall corner;Canto da parede
Wall of flame;Parede de chamas
Waste pipes;Canos de resíduos
Water Sign;Signo de Água
Waterbirth Island Portal;Portal da Ilha Waterbirth
Vault Door;Porta do cofre
Veg stall;Barraca de vegetais
Watchtower;Torre de vigia
Waiting Room Door;Porta da sala de espera
Wall Crusher;Triturador de parede
Wall opening;Abertura de parede
Wand rack;Suporte para varinhas
Washing line;Varal de lavagem
Water;Água
Water Channel;Canal de Água
Water pump;Bomba de água
Water tap;Torneira de água
Vase set;Conjunto de vaso
Vent;Ventilação
Village fence;Cerca da aldeia
Warning Sign;Sinal de alerta
Watchtower Middle;Centro da Torre de Vigia
Waterfall;Cachoeira
Vampyre statue;Estátua de vampiro
Vault;Cofre
Verzik's throne;Trono de Verzik
Wall safe;Cofre de parede
Wall support;Suporte de parede
Water pipes;Tubulações de água
Water rift;Fenda de água
Velvet stool;Banqueta de veludo
Verzik Vitur display;Visor Verzik Vitur
Walkway;Passarela
Wall map;Mapa de parede
Water Barrel;Barril de água
Water wheel;Roda d'água
Utensil Stall;Barraca de utensílios
Velvet round chair;Cadeira redonda de veludo
Verzik Vitur;Verzik Vitur
Volcanic vent;Ventilação vulcânica
Volcano Entrance;Entrada do Vulcão
Wall chart;Gráfico de parede
Warning sign;Sinal de alerta
Water barrel;Barril de água
Waterlily;Nenúfar
Vanilla plant;Planta de baunilha
Velvet chair;Cadeira de veludo
Vine;Videira
Vorkath Topiary;Topiária Vorkath
Vorkath display;Exibição Vorkath
Wall of bricks;Parede de tijolos
Water Source;Fonte de água
Water Valve;Válvula de água
Varrock Portal;Portal de Varrock
Vase;Vaso
Veteran Flag;Bandeira Veterana
Volcanic sulphur;Enxofre vulcânico
Washing Line;Linha de lavagem
Water Pool;Piscina de água
Watering Hole;Bebedouro
Utensil cupboard;Armário de utensílios
Vampyre tomb;Tumba de vampiro
Vegetable Stall;Barraca de vegetais
Vine ladder;Escada de videira
Volcanic Forge;Forja Vulcânica
Volcanic chamber;Câmara vulcânica
Wall chart space;Espaço para gráfico de parede
War table;Mesa de guerra
Warhammer;Martelo de Guerra
Weapon Rack;Rack de armas
Wheel;Roda
Whipping Plant;Planta de chicoteamento
White tree;Árvore branca
Willow's bag;Bolsa de salgueiro
Wooden Table;Mesa de madeira
Weathervane;Cata-vento
Whirlpool;Hidromassagem
Wilderness Ditch;Vala Selvagem
Willow tree;Salgueiro
Wintumber tree;Árvore de inverno
Witch's charm;encanto de bruxa
Weeping wall;Parede chorando
Werewolf Flag;Bandeira de lobisomem
White Knight;Cavaleiro Branco
White rose bush patch;Mancha de roseira branca
Wildblood Hops;Lúpulo Sangue Selvagem
Willow Tree;Salgueiro
Winch;Guincho
Windswept tree;Árvore varrida pelo vento
Winter's End;Fim do inverno
Wizard Statue;Estátua do Feiticeiro
Wooden Beams;Vigas de madeira
Wooden chest;Baú de madeira
Wooden gate;Portão de madeira
Watermelon seed;Semente de melancia
Weapons Rack;Rack de armas
White Tree;Árvore Branca
Wilf (ghastly!);Wilf (horrível!)
Wilf (very sick);Wilf (muito doente)
Windchimes;Sinos de Vento
Wooden boards;Tábuas de madeira
Wire;Arame
Weeds;Ervas daninhas
Wheat;Trigo
Wish-list;Lista de desejos
Wood;Madeira
Weiss Portal;Portal Weiss
Well stacked rocks;Pedras bem empilhadas
Wilderness Sign;Sinal Selvagem
Wilderness Statistics;Estatísticas da região selvagem
Window;Janela
White Crystal;Cristal Branco
Willow tree stump;Toco de salgueiro
Wilting wheat;Trigo murcho
Wooden bench;Banco de madeira
Wooden defence;Defesa de madeira
Wooden platform;Plataforma de madeira
Weapon rack;Suporte para armas
Web sack;Saco de teia
Weedy patch;Mancha de ervas daninhas
Well;Bem
Wilhelm;Guilherme
Withering Attas plant;Planta murcha de Attas
Withering Iasor plant;Planta Iasor murchando
Wizards Mind Bomb;Bomba Mental dos Feiticeiros
Wooden Stair;Escada de madeira
Wooden chair;Cadeira de madeira
Wood Basket;Cesta de madeira
Willow birdhouse;Casa de passarinho de salgueiro
Willow birdhouse (empty);Casa de passarinho de salgueiro (vazia)
Window space;Espaço da janela
Wire machine;Máquina de arame
Wheely table;Mesa com rodas
Whetstone;Pedra de amolar
White lily;Lírio branco
Withering Kronos plant;Planta murcha de Cronos
Watermelons;Melancias
White crystal;Cristal branco
Winch bucket;Balde de guincho
Wine rack;Garrafeira
Wooden Obstruction;Obstrução de madeira
Wooden cart;Carrinho de madeira
Wooden fence;Cerca de madeira
Web;Rede
Weiss banner;Bandeira Weiss
West Ardougne Portal;Portal de Ardonha Ocidental
Wheelbarrow;Carrinho de mão
White roses;Rosas brancas
Whiteberry bush;Arbusto de amora branca
Wilf (sick);Wilf (doente)
Wine barrel;Barril de vinho
Witch Glyph;Glifo de Bruxa
Wolf Statue;Estátua do Lobo
Wooden crate;Caixa de madeira
Watermelon;Melancia
Weather vane;Cata-vento
White Castlewars armour;Armadura Branca de Castlewars
Wilf (Well);Wilf (bem)
Windswept Tree;Árvore varrida pelo vento
Woad plant;Planta Woad
Woodcutting stump;Toco de xilogravura
Wooden doors;Portas de madeira
Waterpump;Bomba d'água
Waystone;Pedra de passagem
Weathered wall;Parede resistida
Wet driftwood;Madeira flutuante molhada
White Tree patch;Remendo de árvore branca
Willow;Salgueiro
Wooden barricade;Barricada de madeira
